Itrs,Loss,Overall_Acc,Mean_IoU
981,0.226028,,
982,0.289373,,
983,0.241121,,
984,0.316368,,
985,0.228993,,
986,0.197872,,
987,0.223045,,
988,0.277556,,
989,0.124705,,
990,0.328167,,
991,0.259813,,
992,0.229947,,
993,0.217978,,
994,0.215024,,
995,0.345716,,
996,0.241155,,
997,0.408350,,
998,0.325191,,
999,0.232216,,
1000,0.274142,0.908528,0.664990
1001,0.199603,,
1002,0.453290,,
1003,0.110035,,
1004,0.256924,,
1005,0.323017,,
1006,0.303010,,
1007,0.374772,,
1008,0.233568,,
1009,0.298702,,
1010,0.326668,,
1011,0.237737,,
1012,0.242265,,
1013,0.231309,,
1014,0.186442,,
1015,0.226242,,
1016,0.375391,,
1017,0.265961,,
1018,0.179532,,
1019,0.252004,,
1020,0.190807,,
1021,0.324602,,
1022,0.318014,,
1023,0.170047,,
1024,0.241087,,
1025,0.226693,,
1026,0.381227,,
1027,0.228712,,
1028,0.276836,,
1029,0.328868,,
1030,0.271834,,
1031,0.210493,,
1032,0.264860,,
1033,0.223803,,
1034,0.227928,,
1035,0.300934,,
1036,0.253584,,
1037,0.248111,,
1038,0.380735,,
1039,0.211738,,
1040,0.422272,,
1041,0.228789,,
1042,0.375697,,
1043,0.294318,,
1044,0.147227,,
1045,0.216388,,
1046,0.284537,,
1047,0.405393,,
1048,0.560532,,
1049,0.157505,,
1050,0.286766,,
1051,0.201248,,
1052,0.164915,,
1053,0.413618,,
1054,0.231110,,
1055,0.253840,,
1056,0.210249,,
1057,0.190286,,
1058,0.342092,,
1059,0.228005,,
1060,0.210197,,
1061,0.254535,,
1062,0.182604,,
1063,0.239607,,
1064,0.178123,,
1065,0.234856,,
1066,0.300015,,
1067,0.377711,,
1068,0.183959,,
1069,0.246244,,
1070,0.149806,,
1071,0.253029,,
1072,0.218495,,
1073,0.231009,,
1074,0.293419,,
1075,0.233390,,
1076,0.346798,,
1077,0.272119,,
1078,0.162227,,
1079,0.284295,,
1080,0.194743,,
1081,0.154762,,
1082,0.187860,,
1083,0.324719,,
1084,0.106298,,
1085,0.218658,,
1086,0.247650,,
1087,0.155167,,
1088,0.283216,,
1089,0.201974,,
1090,0.243211,,
1091,0.300144,,
1092,0.224612,,
1093,0.591044,,
1094,0.202483,,
1095,0.201672,,
1096,0.241409,,
1097,0.300786,,
1098,0.219441,,
1099,0.214128,,
1100,0.217179,0.903642,0.661428
1101,0.174810,,
1102,0.358764,,
1103,0.343060,,
1104,0.319166,,
1105,0.324948,,
1106,0.257368,,
1107,0.207709,,
1108,0.316649,,
1109,0.362368,,
1110,0.215798,,
1111,0.238144,,
1112,0.177944,,
1113,0.242204,,
1114,0.311914,,
1115,0.189489,,
1116,0.138487,,
1117,0.200481,,
1118,0.370100,,
1119,0.172813,,
1120,0.489593,,
1121,0.529521,,
1122,0.218829,,
1123,0.266652,,
1124,0.284366,,
1125,0.324735,,
1126,0.281071,,
1127,0.178746,,
1128,0.225633,,
1129,0.386089,,
1130,0.284057,,
1131,0.363414,,
1132,0.266374,,
1133,0.287812,,
1134,0.231642,,
1135,0.370825,,
1136,0.252623,,
1137,0.202012,,
1138,0.174569,,
1139,0.190000,,
1140,0.295733,,
1141,0.258510,,
1142,0.220406,,
1143,0.324195,,
1144,0.364223,,
1145,0.402681,,
1146,0.277220,,
1147,0.166591,,
1148,0.245862,,
1149,0.216150,,
1150,0.233450,,
1151,0.307739,,
1152,0.471382,,
1153,0.245674,,
1154,0.378609,,
1155,0.254308,,
1156,0.289045,,
1157,0.244089,,
1158,0.184190,,
1159,0.208218,,
1160,0.299144,,
1161,0.415913,,
